"Reference","Value","Footprint","Manufacturer","MPN","LCSC","Distributor (DigiKey/Mouser)","Notes"
"C3","100nF 50V X7R","0402","Samsung Electro-Mechanics","CL05B104KB54PNC","C307331","DigiKey 1276-CL05B104KB54PNCTR-ND","V_in (12V) bypass; part is 50V (schematic label says 25V, safe over-spec)"
"C16","100nF 50V X7R","0402","Samsung Electro-Mechanics","CL05B104KB54PNC","C307331","DigiKey 1276-CL05B104KB54PNCTR-ND","V_in (12V) bypass; 50V part"
"C17","22uF 25V X5R","0805","Murata","GRT21BR61E226ME13L","C398931","DigiKey 490-GRT21BR61E226ME13LCT-ND","Buck V_in cap; replaces obsolete/OOS C45783"
"C18","100nF 16V X7R","0402","Samsung Electro-Mechanics","CL05B104KO5NNNC","C1525","DigiKey 1276-1001-2-ND","U1 bootstrap cap (VBST-SW, ~5V); 16V adequate"
"C15","47uF 10V X5R","0805","Murata","GRM21BR61A476ME15K","C2292827","DigiKey 490-GRM21BR61A476ME15KCT-ND","Buck 5V output; ~22uF effective at 5V DC bias; replaces 6.3V C16780. DK P/N corrected to match the MPN suffix (K); was miscited as the 15L reel variant, a distinct DK part (490-9961-1-ND), not the same number reformatted"
"C19","47pF 50V C0G","0402","Samsung Electro-Mechanics","CL05C470JB5NNNC","C84706","DigiKey 1276-1699-1-ND","Buck feedforward across R6; replaces wrong C1549 (18pF)"
"C20","10uF 25V X5R","0805","Samsung Electro-Mechanics","CL21A106KAYNNNE","C15850","Mouser 187-CL21A106KAYNNNE","XIAO VBUS decoupling; 25V part holds ~full 10uF at 5V"
"D2","ESD 5V bidir","DFN1006-2L","GOODWORK","ES05D1MC10","C5137770","functional equiv: Bourns CG0402MLC-05E","S21 TX line-to-GND protection; 5V standoff, 11V clamp, 8A/80W. GOODWORK is an LCSC-house brand; no direct DigiKey/Mouser cross"
"D3","ESD 5V bidir","DFN1006-2L","GOODWORK","ES05D1MC10","C5137770","functional equiv: Bourns CG0402MLC-05E","S21 RX line-to-GND protection; see D2"
"D5","SMF15A 15V unidir TVS","SOD-123FL","MDD (Microdiode)","SMF15A","C123802","DigiKey F5817CT-ND (Littelfuse SMF15A cross-sub)","Input TVS, 15V standoff. LCSC primary C123802 is MDD-brand SMF15A; the DK number is a Littelfuse cross-substitution (verified: F5817CT-ND = Littelfuse SMF15A, SOD-123F, 15V standoff / 24.4V clamp)"
"D6","Schottky 20V 0.5A","SOD-123F","Nexperia","PMEG2005EH,115","C96233","DigiKey PMEG2005EH-115 (P/N 1157665)","USB VBUS isolation; SOD-123F land-compatible with the D_SOD-123 footprint. DK 1157665 backorder as of 2026-07-20; LCSC C96233 in stock"
"F1","PTC 250mA hold","1206","Littelfuse","1206L025YR","C99561","DigiKey F2110TR-ND","Input resettable fuse"
"J2","JST EH 1x05 2.5mm R/A","JST_EH_S5B-EH_1x05_P2.50mm_Horizontal","JST","S5B-EH(LF)(SN)","C265103","DigiKey 455-S5B-EH-ND (canonical DK 455-1628-ND, same product)","S21 bus connector (side-entry / right-angle); both DK numbers verified to resolve to the JST S5B-EH right-angle 5POS 2.5mm header"
"L1","4.7uH 3.2A","5045 (5.0x5.0mm)","TDK","VLS5045EX-4R7M","C307876","DigiKey 445-VLS5045EX-4R7MTR-ND","Buck inductor; low LCSC stock (~465), verify at order"
"Q1","BSS138PS dual N-ch","SOT-363","Nexperia","BSS138PS,115","C193381","DigiKey 1727-6479-2-ND","Non-inverting S21 level shifter"
"R1","10k 1%","0402","UNI-ROYAL","0402WGF1002TCE","C25744","DigiKey 311-10.0KLRCT-ND (YAGEO equiv)",""
"R2","10k 1%","0402","UNI-ROYAL","0402WGF1002TCE","C25744","DigiKey 311-10.0KLRCT-ND (YAGEO equiv)",""
"R3","10k 1%","0402","UNI-ROYAL","0402WGF1002TCE","C25744","DigiKey 311-10.0KLRCT-ND (YAGEO equiv)",""
"R12","10k 1%","0402","UNI-ROYAL","0402WGF1002TCE","C25744","DigiKey 311-10.0KLRCT-ND (YAGEO equiv)",""
"R5","150k 1%","0603","UNI-ROYAL","0603WAF1503T5E","C22807","DigiKey 311-150KHRCT-ND (YAGEO equiv)","U1 EN pull-up to V_in"
"R6","220k 1%","0603","UNI-ROYAL","0603WAF2203T5E","C22961","DigiKey 311-220KHRCT-ND (YAGEO equiv)","Buck feedback top; sets Vout=5.0V. Replaces wrong C22807 (150k)"
"R8","30k 1%","0402","YAGEO","RC0402FR-0730KL","C138008","DigiKey 311-30.0KLRCT-ND","Buck feedback bottom; sets Vout=5.0V. Replaces wrong C25779 (33k) and OOS C25776"
"R10","220R 5%","0603","UNI-ROYAL","0603WAJ0221T5E","C1226","DigiKey 311-220GRTR-ND (YAGEO equiv)","S21 series resistor"
"R11","220R 5%","0603","UNI-ROYAL","0603WAJ0221T5E","C1226","DigiKey 311-220GRTR-ND (YAGEO equiv)","S21 series resistor"
"U1","TPS562246","SOT-563 (SOT-5x3-6)","Texas Instruments","TPS562246DRLR","C41833479","DigiKey 296-TPS562246DRLRTR-ND","Synchronous buck, Vref 0.6V"
"U2","XIAO ESP32-C6","Seeed_XIAO:XIAO-ESP32-C6-DIP","Seeed Studio","XIAO ESP32-C6 (SKU 102010448)","","Seeed SKU 102010448 (also DigiKey/Mouser)","DNP BY FAB / HAND-ASSEMBLED. Purchased module, socketed/soldered by hand; not machine-placed"
