Ref,Val,Package,PosX,PosY,Rot,Side
"U2","WT0132C6-S5","WT0132C6-S5",163.760000,-99.720000,0.000000,bottom
"Boot1","Tactile Button, 160gf","SW-SMD_L3.9-W3.0-P4.45",160.140000,-105.240000,90.000000,top
"C1","100nF","C0402",159.820000,-98.940000,90.000000,top
"C2","100nF","C0402",161.010000,-98.940000,90.000000,top
"C3","100nF 25V","C0402",171.480000,-93.460000,90.000000,top
"C4","100nF","C0402",162.220000,-98.920000,90.000000,top
"C5","100nF","C0402",163.430000,-99.000000,90.000000,top
"C6","1uF","C0603",159.490000,-91.790000,90.000000,top
"C7","100nF","C0402",166.750000,-100.310000,90.000000,top
"C8","100nF","C0402",157.730000,-96.180000,-90.000000,top
"C15","47uF 6V3","C0805",165.070000,-99.540000,-90.000000,top
"C16","100nF 25V","C0402",170.290000,-93.470000,90.000000,top
"C17","22uF 25V","C0805",173.130000,-93.350000,90.000000,top
"C18","100nF","C0402",166.950000,-96.010000,90.000000,top
"C19","18pF","C0402",169.870000,-97.850000,-90.000000,top
"D2","~","DFN1006-2L_L1.0-W0.6-P0.65-BI",170.390000,-103.640000,180.000000,top
"D3","~","DFN1006-2L_L1.0-W0.6-P0.65-BI",172.710000,-104.170000,0.000000,top
"D4","D","D0402",172.820000,-99.920000,180.000000,top
"D5","SMF15A 15V","D_SOD-123F",176.200000,-97.900000,-90.000000,top
"F1","250mA-hold 1206","Fuse_1206_3216Metric",176.200000,-93.000000,90.000000,top
"J2","Conn_01x05","JST_EH_S5B-EH_1x05_P2.50mm_Horizontal",180.500000,-94.500000,-90.000000,top
"L1","4.7uH","IND-SMD_L4.9-W4.9_NRS50XX",163.150000,-94.560000,-90.000000,top
"Matter1","Tactile Button, 160gf","SW-SMD_L3.9-W3.0-P4.45",165.210000,-107.290000,180.000000,top
"Q1","BSS138PS","SOT-363_L2.0-W1.3-P0.65-LS2.1-BR",169.960000,-101.950000,0.000000,top
"R1","10k","R0402",173.480000,-101.470000,90.000000,top
"R2","10k","R0402",170.750000,-99.900000,0.000000,top
"R3","10k","R0402",159.880000,-94.740000,90.000000,top
"R5","150k 1%","R0603",171.530000,-96.200000,90.000000,top
"R6","150k 1%","R0603",167.680000,-98.190000,0.000000,top
"R8","33k 1%","R0402",172.470000,-98.430000,0.000000,top
"R9","220","R0402",158.180000,-94.200000,0.000000,top
"R10","220R","R_0603_1608Metric",176.000000,-104.200000,180.000000,top
"R11","220R","R_0603_1608Metric",176.000000,-101.300000,0.000000,top
"Reset1","Tactile Button, 160gf","SW-SMD_L3.9-W3.0-P4.45",156.600000,-100.540000,-90.000000,top
"U1","TPS562246","SOT-5X3-6_L1.6-W1.2-P0.50-LS1.6-BR",168.680000,-94.995000,90.000000,top
