Ref,Val,Package,PosX,PosY,Rot,Side
"U2","XIAO-ESP32-C6","XIAO-ESP32-C6-DIP",159.500000,-98.500000,0.000000,bottom
"C3","100nF 25V","C0402",182.600000,-86.900000,0.000000,top
"C15","47uF 10V","C0805",186.650000,-93.300000,0.000000,top
"C16","100nF 25V","C0402",183.300000,-89.500000,90.000000,top
"C17","22uF 25V","C0805",173.500000,-96.000000,0.000000,top
"C18","100nF","C0402",179.000000,-88.700000,90.000000,top
"C19","47pF","C0402",181.300000,-92.600000,0.000000,top
"C20","10uF 25V","C0805",169.800000,-93.400000,0.000000,top
"D2","~","DFN1006-2L_L1.0-W0.6-P0.65-BI",172.000000,-107.000000,180.000000,top
"D3","~","DFN1006-2L_L1.0-W0.6-P0.65-BI",173.004500,-108.333400,0.000000,top
"D5","SMF15A 15V","D_SOD-123F",172.200000,-90.400000,-90.000000,top
"D6","PMEG2005","D_SOD-123",176.100000,-90.000000,0.000000,top
"F1","250mA-hold 1206","Fuse_1206_3216Metric",188.300000,-104.000000,90.000000,top
"J2","Conn_01x05","JST_EH_S5B-EH_1x05_P2.50mm_Horizontal",179.374900,-97.454700,-90.000000,top
"L1","4.7uH","IND-SMD_L4.9-W4.9_NRS50XX",186.400000,-89.150000,-90.000000,top
"Q1","BSS138PS","SOT-363_L2.0-W1.3-P0.65-LS2.1-BR",175.520800,-108.069400,0.000000,top
"R1","10k","R0402",177.147000,-106.118000,90.000000,top
"R2","10k","R0402",152.089000,-108.891000,0.000000,top
"R3","10k","R0402",158.300000,-93.519600,90.000000,top
"R5","150k 1%","R0603",178.300000,-92.800000,0.000000,top
"R6","220k 1%","R0603",183.400000,-93.400000,0.000000,top
"R8","30k 1%","R0402",181.300000,-93.800000,0.000000,top
"R10","220R","R_0603_1608Metric",175.165800,-105.599300,180.000000,top
"R11","220R","R_0603_1608Metric",175.071800,-103.471800,0.000000,top
"R12","10k","R0402",174.500000,-101.600000,90.000000,top
"U1","TPS562246","SOT-5X3-6_L1.6-W1.2-P0.50-LS1.6-BR",180.900000,-89.000000,90.000000,top
